definition,peak_at,trough_at,depth,window,trail_vol_at_peak,mkt_vol_at_peak,mkt_prior_2y,mkt_during,vol_std_depth,also_slow,lo_ret,hi_ret,factor_ret,loser_share,winner_share,retrace_20d,crash_days,sessions,leg_data,bear_state,route,formation_at,era
fast,2001-04-04,2001-04-19,-0.17027936417623146,10,0.27611879637049497,0.27122973824617946,-0.13874680730662736,0.14316565978943552,-3.0957531154539257,False,0.38157290752469963,0.06723577721170426,-0.15941002384694003,1.2138970256067283,-0.2138970256067283,0.061758957374301815,0,11,True,True,Route 1,2001-03-31,returns-only
slow,2001-04-04,2001-05-22,-0.19791580159443822,33,0.27611879637049497,0.27122973824617946,-0.13874680730662736,0.2047141037016671,-1.9807414891210433,True,0.4426052064399779,0.1462329197508092,-0.18740849859532527,1.4934095606050248,-0.49340956060502494,0.6070216485000328,0,34,True,True,Route 1,2001-03-31,returns-only
fast,2001-10-02,2001-10-16,-0.08470068013194643,10,0.18302594470829425,0.1994722175232344,-0.160665556925496,0.06529658469268429,-2.3231353368920633,False,0.2208776791861884,0.06762166892386223,-0.08195478217234209,1.441233389856066,-0.44123338985606614,-0.756229745683301,0,11,True,True,Route 1,2001-09-30,returns-only
slow,2001-10-02,2002-01-04,-0.17656043337060223,65,0.18302594470829425,0.1994722175232344,-0.160665556925496,0.15622971380220907,-1.899434495877191,True,0.5106800141409538,0.1690333848383856,-0.17409011467071367,1.4947608737819178,-0.4947608737819178,0.5440731236598796,0,66,True,True,Route 1,2001-09-30,returns-only
fast,2002-02-22,2002-03-08,-0.05131115131486519,10,0.1403586487926875,0.17274615459474907,-0.2361808619275929,0.07976255546752942,-1.8351554217651747,False,0.19613751884000807,0.06089887761470836,-0.051690626854339006,1.4503067840888342,-0.45030678408883423,1.2927290966776532,0,11,True,True,Route 1,2002-01-31,returns-only
fast,2002-07-02,2002-07-17,-0.049420813316115475,10,0.15044191352629913,0.18971691034994087,-0.3289134553058888,-0.06103550766406318,-1.649078425468254,False,0.01154555124700396,-0.08594528321090211,-0.038013863075908816,0.11842704302617309,0.8815729569738269,2.068165268614288,0,11,True,True,FITS-NONE,2002-06-30,returns-only
fast,2002-08-13,2002-08-27,-0.05246253586609395,10,0.1852188201707765,0.2689395584682386,-0.38228245277882644,0.03406316777923046,-1.4218848800343389,False,0.10746701474543996,0.017642263677461356,-0.03853373514332559,1.1964075988822929,-0.19640759888229295,1.8617047891259442,0,11,True,True,Route 1,2002-07-31,returns-only
fast,2002-11-11,2002-11-25,-0.11605500330270391,10,0.20423645948218483,0.33059365472654606,-0.3677310934856084,0.04659226114819681,-2.852534235723633,True,0.16635789213769092,0.0031637123139545142,-0.09881807586710634,1.0193861834862714,-0.01938618348627134,0.8764476362795314,0,11,True,True,Route 1,2002-10-31,returns-only
fast,2002-12-30,2003-01-14,-0.07488810811166258,10,0.1951993588849381,0.2756656243943512,-0.26080326694240596,0.06096803208034052,-1.9259044766655211,False,0.16831450333843967,0.025349719365699075,-0.06656210108466754,1.1773144312975183,-0.17731443129751842,1.492789287201293,0,11,True,True,Route 1,2002-11-30,returns-only
fast,2003-03-11,2003-03-25,-0.04966091377629067,10,0.18046037661290823,0.2104224623336247,-0.314275220727945,0.08015528544056294,-1.3814434686757422,False,0.10753299430214414,0.06245335953438569,-0.042153234995123245,2.3854007437312506,-1.3854007437312506,-1.2817346125759879,0,11,True,True,Route 1,2003-02-28,returns-only
fast,2003-04-11,2003-04-28,-0.05937006104890308,10,0.16128783046016026,0.21607429765960404,-0.19368750396150325,0.051273351566777814,-1.8478476662791203,False,0.12669214718072785,0.02717338648020573,-0.05692442320763036,1.273047878499789,-0.2730478784997889,-1.352947369439069,0,11,True,True,Route 1,2003-03-31,returns-only
slow,2003-03-11,2003-06-06,-0.20063138383213042,61,0.18046037661290823,0.2104224623336247,-0.314275220727945,0.23603614235041848,-2.2597082030335782,True,0.5957575890543823,0.2007400019016825,-0.1943163717644043,1.5081799100354576,-0.5081799100354576,0.1795859404206466,0,62,True,True,Route 1,2003-02-28,returns-only
fast,2003-12-02,2003-12-16,-0.06399376978066351,10,0.08078579465587857,0.1290334406268402,0.021772734541913863,-0.003342266141860839,-3.976518100795293,False,0.020691423837023493,-0.08388762147505746,-0.06333856541951,0.197854395928715,0.802145604071285,0.5522911473852004,0,11,True,False,Route 2,2003-11-30,returns-only
fast,2004-04-26,2004-05-10,-0.04446400697444175,10,0.09987938180170558,0.11816797366461135,0.10477480312652965,-0.053175451487757486,-2.2347709757898695,True,-0.03583752435623799,-0.10635569381155774,-0.04369957818002135,-0.5082027034031934,1.5082027034031933,0.4912379113853107,0,11,True,False,Route 2,2004-03-31,returns-only
fast,2006-05-10,2006-05-24,-0.07202164760829355,10,0.07117869267490841,0.08997549019796396,0.3015006291729918,-0.054800139470968845,-5.07941053715569,True,-0.04790873930300754,-0.14283005455393638,-0.07257843461972857,-0.5047205590900062,1.5047205590900063,-0.07277089135175675,0,11,True,False,Route 2,2006-04-30,returns-only
